conic_curve_mm,x_cord,y_cord,angle,temp,Vin,Vout,Cin,Cout,S21_param,inductance,efficiency,L_tx_uH,L_tx_eff_uH,L_rx_eff_uH,C_parasitic_pF,f_srf_MHz,R_skin_ohm,R_total_ohm,proximity_factor,Q_tx,Q_rx,M_nH,k,kQ,k_critical,S11_dB,S22_dB,S12_dB,P_in_W,P_out_W,f_split_low_MHz,f_split_high_MHz,split_gap_kHz,coupling_regime,d_lateral_mm,alignment,group,Vout_measured,Iout_measured,efficiency_measured,notes
0,30,0,10,75.0,12.0,0.540556,86.999,86.999,-11.22,6.33383,1.88773,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,384.81264,0.06075508,7.1382,0.00851126,-0.798,-0.798,-11.22,2.88,0.05436676,6.583,6.9958,412.87,overcoupled,30.0,x-axis,control,,,,
0,35,0,10,75.0,12.0,0.533857,86.999,86.999,-9.148,6.33383,3.04163,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,299.39947,0.04726986,5.5538,0.00851126,-0.798,-0.798,-9.148,2.88,0.08759883,6.6252,6.9462,320.94,overcoupled,35.0,x-axis,control,,,,
0,40,0,10,75.0,12.0,0.514125,86.999,86.999,-6.008,6.33383,6.2686,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,200.84581,0.03170999,3.72565,0.00851126,-0.798,-0.798,-6.008,2.88,0.18053569,6.675,6.8901,215.13,overcoupled,40.0,x-axis,control,,,,
0,45,0,10,75.0,12.0,0.421262,86.999,86.999,-1.423,6.33383,18.01386,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,97.07969,0.01532716,1.80081,0.00851126,-0.798,-0.798,-1.423,2.88,0.51879924,6.7286,6.8326,103.93,overcoupled,45.0,x-axis,control,,,,
0,50,0,10,75.0,12.0,0.090975,86.999,86.999,-2.586,6.33383,13.78153,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,23.96923,0.00378432,0.44462,0.00851126,-0.798,-0.798,-2.586,2.88,0.39690799,6.78,6.78,0.0,undercoupled,50.0,x-axis,control,,,,
0,55,0,10,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,55.0,x-axis,control,,,,
0,60,0,10,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,60.0,x-axis,control,,,,
0,65,0,10,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,65.0,x-axis,control,,,,
0,70,0,10,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,70.0,x-axis,control,,,,
0,75,0,10,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,75.0,x-axis,control,,,,
